speaker_id,n_seg,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel
427,151,7.843186111111112,45846,238595,0.2545260218994023,0.12056413587879042,0.10541813898704358,0.056040570841803056,0.14910788291235874,0.5858256920044562
433,38,1.4360638888888886,10527,52750,0.2021468604540705,0.10614218009478674,0.08207466514676547,0.048947867298578196,0.12007219530730502,0.5939849624060151
435,65,2.8989222222222226,13751,73767,0.21620245800305432,0.10895115702143235,0.10188349938186314,0.0651781962123985,0.11431895862119118,0.5287588294651867
445,578,18.296294444444445,119053,622228,0.19118375849411606,0.09456983613723587,0.09435293524732682,0.05797874734020327,0.09683082324678924,0.5064803831114626
448,123,6.411166666666666,34131,181924,0.7483812369986229,0.6228534992634287,0.14971726582871875,0.0757733998812691,0.5986639711699042,0.7999451904631406
455,55,1.740344444444444,11702,61217,0.2043240471714237,0.10425208683862326,0.107246624508631,0.0658803927013738,0.09707742266279269,0.4751150146382267
456,12,2.1990083333333335,10858,60109,0.18548535641923006,0.06641268362474838,0.06695524037575981,0.02863131976908616,0.11853011604347025,0.6390268123138033
458,27,0.7096944444444443,4224,21128,0.22017045454545456,0.11624384702764104,0.12097537878787878,0.07733812949640288,0.09919507575757577,0.4505376344086022
461,130,5.056413888888889,31945,174995,0.18550633902019095,0.08150518586245321,0.08380028173423071,0.046738478242235496,0.10170605728596024,0.5482618967262909
462,130,5.2843027777777785,28607,152277,0.1739084839374978,0.08888407310362037,0.08910406543852903,0.05432862480873671,0.08480441849896878,0.48763819095477384
464,17,0.7390527777777778,3598,19117,0.25680933852140075,0.1423340482293247,0.16092273485269595,0.1086990636606162,0.0958866036687048,0.37337662337662325
467,148,6.172966666666666,36116,194875,0.18379665522206223,0.08236048749198203,0.08445010521652453,0.04695830660679923,0.0993465500055377,0.5405242542934618
468,465,18.111219444444444,115466,625214,0.2291670275232536,0.11293892971046714,0.10107737342594357,0.05554418167219544,0.12808965409731005,0.5589357922980992
469,276,15.008352777777779,97957,517456,0.13261941464111804,0.058652329859930116,0.07016343905999571,0.040227574904919454,0.06245597558112233,0.47094142098375796
470,128,5.386330555555555,33947,179314,0.21350929389931364,0.10558573229084177,0.10504610127551772,0.06427272828669262,0.10846319262379592,0.5080022075055187
471,105,3.330786111111111,21876,117489,0.2462973121228744,0.1211602788346143,0.10756079722069849,0.060635463745542136,0.13873651490217592,0.5632887899034893
474,74,1.9523249999999999,12398,64996,0.25810614615260524,0.14396270539725523,0.1322793999032102,0.08303587913102345,0.12582674624939505,0.4875
475,76,3.0995749999999997,16075,86849,0.208646967340591,0.1042844477196053,0.10034214618973561,0.0533800043754102,0.10830482115085538,0.5190816935002982
476,1810,39.37478888888889,232515,1222314,0.2878825022041589,0.17101824899330287,0.13614605509321978,0.09490278275467678,0.15173644711093912,0.5270776999267969
477,402,13.054569444444443,78787,419833,0.1520809270564941,0.06940378674377669,0.07417467348674274,0.04204052563757494,0.07790625356975135,0.5122684026039058
478,383,12.889852777777778,108922,564990,0.2741870329226419,0.1408095718508292,0.13239749545546353,0.0798615904706278,0.14178953746717837,0.5171270718232045
479,127,4.938133333333334,33395,175951,0.19784398862105104,0.09728276622468755,0.09723012427010032,0.05839125665668283,0.10061386435095072,0.5085515362494324
483,211,8.285658333333332,53381,282521,0.21451452764092094,0.1070079746284347,0.10159045353215564,0.059082333702627415,0.1129240741087653,0.526416906820365
488,516,9.382352777777777,53550,273957,0.29632119514472455,0.1765423040842176,0.1408029878618114,0.10158528528199681,0.15551820728291316,0.5248298462314092
490,660,19.82016666666667,121091,618493,0.24083540477822465,0.12077582122998967,0.11606973268038087,0.06575660516772219,0.12476567209784378,0.5180536981791997
494,228,6.795941666666668,53361,276147,0.3160547965742771,0.157763799715369,0.14995970840126685,0.08667122945387783,0.16609508817301025,0.5255262377705306
495,117,4.794286111111111,31964,169750,0.2877299461894631,0.14560824742268041,0.15464272306344637,0.09099852724594992,0.13308722312601676,0.46254213330433835
498,317,12.118966666666667,66069,361947,0.19977599176618382,0.09643124545858923,0.08742375395419939,0.0463797185775818,0.11235223781198443,0.5623910902341086
503,468,19.43684722222222,132898,686047,0.21244864482535478,0.10589361953335559,0.09957260455386838,0.05364209740732049,0.1128760402714864,0.5313097683643834
504,386,15.599588888888889,106446,570347,0.15919809105086147,0.07426356235765244,0.07049583826541157,0.04222692501231706,0.0887022527854499,0.5571816357842558
511,156,5.180413888888888,35864,186264,0.15148895828686149,0.06802173259459691,0.0676165514164622,0.03541210325129923,0.08387240687039929,0.5536535983802687
521,196,7.445044444444443,45862,246772,0.20295669617548298,0.10459047217674615,0.09578736208625878,0.056246251600667825,0.1071693340892242,0.5280403953588311
526,870,25.032469444444448,175007,904026,0.20223762478072305,0.11050014048268524,0.09953887558783363,0.06165641253680757,0.10269874919288942,0.5078122792642613
528,619,18.434333333333335,115419,604363,0.3508607768218404,0.16497039031178282,0.16063213162477583,0.08239253561187565,0.1902286451970646,0.5421770051363097
532,1529,37.637655555555554,218438,1166380,0.29610690447632737,0.19430117114490988,0.12233677290581309,0.0857987962756563,0.1737701315705143,0.5868493065969914
533,63,3.3201055555555556,16127,89614,0.3747752216779314,0.19655410984890753,0.12699200099212501,0.06520186577990046,0.2477832206858064,0.6611515552614162
540,353,14.836863888888887,83204,440554,0.21211720590356234,0.10947579638364423,0.10307196769386087,0.06272556826177948,0.10904523820970147,0.5140801178537028
546,39,1.838833333333333,13047,68841,0.20763393883651415,0.09822634767071949,0.08208783628420327,0.042431109367963855,0.12554610255231088,0.6046511627906976
549,236,7.207022222222222,48319,257200,0.286967859434177,0.13942457231726282,0.1270928620211511,0.06867807153965785,0.1598749974130259,0.5571181306793596
556,480,15.3125,94042,496047,0.24057336083877418,0.12672589492527925,0.10889815188958125,0.06389515509619048,0.13167520894919293,0.5473391089108911
557,249,11.72948888888889,73980,390717,0.1812381724790484,0.08271715845484072,0.08336036766693701,0.046883038106865074,0.09787780481211138,0.5400507159904534
560,1241,35.02280277777778,180279,952775,0.22647119187481626,0.11788302589803469,0.1001059468934263,0.060249271863766364,0.12636524498138996,0.5579749191731165
563,432,18.301602777777774,118889,636345,0.30001934577631234,0.164399814565998,0.10696532059315833,0.054855463624291854,0.193054025183154,0.6434719223976001
580,724,19.757644444444445,137010,749199,0.3730895555068973,0.1878766522646186,0.1318297934457339,0.07051264083374377,0.24125976206116342,0.6466537551108242
713,443,16.02528611111111,99072,512961,0.2042857719638243,0.10670011950226235,0.09071180555555555,0.05429652546684836,0.11357396640826875,0.5559563219526656
865,54,1.5769722222222222,9601,54075,0.18133527757525258,0.09013407304669441,0.09801062389334445,0.06339343504392048,0.08332465368190814,0.4595060310166571
949,93,6.772733333333331,38033,206310,0.16609260379144428,0.07794580970384372,0.07890516130728578,0.0474140855993408,0.0871874424841585,0.5249327212284312
965,399,20.155619444444444,104105,562417,0.17198981797223956,0.09128102457784883,0.05929590317467941,0.032274984575501806,0.11269391479756015,0.6552359676068137
1025,226,9.718827777777777,55238,303543,0.20741156450269743,0.10547434795070221,0.11837865237698686,0.06990113427092702,0.08903291212571057,0.4292572226586367
1026,89,3.287872222222222,20380,108794,0.2078999018645731,0.10180708494953766,0.11943081452404318,0.07311064948434656,0.08846908734052993,0.4255369365116828
1027,425,17.292483333333333,101076,547886,0.16886303375677708,0.08341516300836305,0.08414460406031106,0.048696261631069236,0.08471842969646602,0.5016990860089056
1030,282,7.885533333333333,45207,239859,0.25869887406817527,0.14396374536706982,0.14836197933948284,0.09535185254670452,0.11033689472869243,0.42650705429670793
1031,40,1.069888888888889,7144,36202,0.29003359462486,0.17416164852770566,0.16153415453527437,0.11336390254682062,0.12849944008958564,0.443050193050193
1033,38,1.3571055555555558,6860,35103,0.27040816326530615,0.15240862604335811,0.18731778425655976,0.12235421473948095,0.08309037900874638,0.3072776280323451
1034,191,5.345183333333332,35242,181664,0.20983485613756314,0.10872820151488462,0.10569774700641281,0.061244935705478246,0.10413710913115033,0.4962812711291413
1037,856,36.24895277777778,231465,1242985,0.15154775019981423,0.07126876028270655,0.07907891041842179,0.04581551667960595,0.07246883978139244,0.4781914590341525
1038,57,2.189988888888889,13758,71231,0.15772641372292484,0.07187881680728896,0.07413868294810293,0.04375903749771869,0.08358773077482191,0.5299539170506912
1041,5,0.4456361111111111,2895,16393,0.17098445595854922,0.06630879033733911,0.08013816925734024,0.037638016226438115,0.09084628670120898,0.5313131313131313
1042,59,2.6181194444444444,14274,78306,0.15062351127924897,0.07314892856230684,0.08154686843211434,0.045833014072995684,0.06907664284713463,0.45860465116279064
1043,5,0.2649972222222222,1753,9362,0.15116942384483742,0.06825464644306772,0.07415858528237307,0.03781243324076052,0.07701083856246435,0.5094339622641509
1044,249,15.9248,102225,555772,0.17400831499144045,0.08474338397760232,0.06950354609929078,0.038672333258962306,0.10450476889214967,0.600573420283337
1055,300,11.167455555555554,68318,363748,0.14142685675810182,0.05902987782750695,0.06310196434321848,0.03452939947436137,0.07832489241488334,0.5538190850755538
1056,487,17.993361111111113,115262,617519,0.23441377036664296,0.11236901212756206,0.11093855737363571,0.06297781930596467,0.12347521299300725,0.5267404419112477
1057,732,24.974449999999997,183877,960191,0.21152727094742682,0.09979368688104763,0.09903359310843662,0.05129916860291338,0.1124936778389902,0.5318164288468955
1061,557,20.676716666666664,104033,549468,0.20827045264483385,0.10800810966243712,0.09553699306950679,0.05753747260986991,0.11273345957532706,0.5412839802464577
1064,4,0.3678194444444445,1779,9554,0.1467116357504216,0.06709231735398787,0.05340078695896571,0.03349382457609378,0.09331084879145587,0.636015325670498
1065,297,9.372705555555557,56583,288748,0.21487019069331778,0.11323714796292961,0.1132142162840429,0.07315375344591131,0.10165597440927487,0.4731041289685804
1067,94,2.6566166666666664,16988,88371,0.29397221568165766,0.16325491394235667,0.13068048033906288,0.08007151667402201,0.16329173534259478,0.5554665598718462
1068,197,7.924427777777779,48916,249826,0.23941041785918718,0.13187578554674054,0.1449627933600458,0.09509418555314499,0.09444762449914137,0.39450089659294674
2014,138,3.123997222222222,16756,87131,0.24128670327047028,0.11823575994766501,0.11172117450465505,0.06288232661165372,0.12956552876581523,0.5369774919614148
2178,165,8.038525,40995,220492,0.19917063056470302,0.10730548047094679,0.08330284180997682,0.05088619995283276,0.1158677887547262,0.5817513778322106
2226,21,0.7944944444444444,4373,24041,0.1696775668877201,0.07354103406680254,0.07637777269608964,0.043509005449024585,0.09329979419163045,0.5498652291105122
2291,222,8.209600000000002,60493,313573,0.22404245119269997,0.10590197497871309,0.11510422693534789,0.0653532032413505,0.10893822425735208,0.4862392090312108
