speaker_id,n_seg,n_sess,hours
427,151,54,7.843186111111112
433,38,19,1.4360638888888886
435,58,23,2.734519444444444
445,578,202,18.296294444444445
448,122,64,5.841894444444445
455,55,23,1.740344444444444
456,12,8,2.1990083333333335
458,27,3,0.7096944444444443
461,130,26,5.056413888888889
462,130,25,5.2843027777777785
464,17,11,0.7390527777777778
467,148,50,6.172966666666666
468,465,90,18.111219444444444
469,274,106,14.406305555555555
470,128,33,5.386330555555555
471,105,28,3.330786111111111
474,74,43,1.9523249999999999
475,76,34,3.0995749999999997
476,1803,301,39.13730277777777
477,402,78,13.054569444444443
478,383,106,12.889852777777778
479,127,38,4.938133333333334
483,211,92,8.285658333333332
488,503,192,9.172625
490,660,199,19.82016666666667
494,228,45,6.795941666666668
495,117,61,4.794286111111111
498,317,68,12.118966666666667
503,468,215,19.43684722222222
504,385,158,15.566055555555554
511,156,72,5.180413888888888
521,196,71,7.445044444444443
526,868,220,24.987888888888886
528,619,176,18.434333333333335
532,1504,441,36.94098611111111
533,63,37,3.3201055555555556
540,350,132,14.801975
546,39,12,1.838833333333333
549,236,101,7.207022222222222
556,480,123,15.3125
557,249,97,11.72948888888889
560,1235,471,34.93023888888889
563,432,132,18.301602777777774
580,722,222,19.711366666666667
713,443,127,16.02528611111111
865,53,22,1.5641166666666666
949,93,43,6.772733333333331
965,399,98,20.155619444444444
1025,222,82,9.547316666666665
1026,89,31,3.287872222222222
1027,424,98,17.256788888888888
1030,275,94,7.701827777777777
1031,39,17,1.0275333333333334
1033,38,14,1.3571055555555558
1034,191,35,5.345183333333332
1037,856,158,36.24895277777778
1038,57,20,2.189988888888889
1041,5,4,0.4456361111111111
1042,59,42,2.6181194444444444
1043,5,2,0.2649972222222222
1044,248,126,15.914116666666668
1055,299,140,11.159027777777776
1056,484,220,17.966075
1057,730,320,24.883505555555555
1061,557,227,20.676716666666664
1064,4,1,0.3678194444444445
1065,296,71,9.363527777777778
1067,93,29,2.611280555555555
1068,197,72,7.924427777777779
2014,135,61,3.0979305555555547
2178,164,45,8.029836111111113
2226,21,7,0.7944944444444444
2291,222,53,8.209600000000002
2411,289,102,7.947966666666667
2462,10,7,0.778036111111111
3261,147,50,7.248986111111112
3263,2,1,0.21418333333333334
4295,181,87,9.843586111111112
4297,206,109,7.755091666666667
4298,13,1,0.563011111111111
4355,470,150,13.582097222222224
4376,62,23,1.8006194444444446
4395,111,41,5.516725
4397,547,115,19.0606
4400,151,67,5.529722222222222
4401,75,37,3.128883333333334
4405,277,144,15.857327777777778
4407,125,58,6.3306805555555545
4408,41,27,1.4530916666666664
4409,61,43,1.7799027777777783
4411,34,6,1.3533444444444445
4412,111,65,3.6681111111111107
4413,385,90,14.052736111111113
4416,1632,494,65.82487777777777
4417,173,37,5.890350000000001
4418,34,26,1.015475
4419,236,125,9.007377777777778
4635,14,8,0.7152166666666667
6076,173,76,4.761502777777777
6235,115,73,3.3678861111111114
7736,112,55,4.013169444444444
