speaker_id,n_seg,n_sess,hours,words,wer_A,wer_B,gain_rel,test_min,test_words,test_sess
427,135.0,49.0,7.065530555555555,41298.0,0.25308731657707395,0.10087655576541237,0.601415996938385,35.564166666666665,3486.0,4.0
445,561.0,197.0,17.417355555555556,112424.0,0.19021739130434784,0.09384117270333736,0.5066635492167407,44.400166666666664,5478.0,1.0
448,105.0,51.0,4.985338888888888,26503.0,0.8023242651775271,0.1476813945591065,0.8159330323551544,40.82133333333333,3658.0,10.0
461,113.0,23.0,3.9942555555555557,25277.0,0.19167622740040352,0.08826205641492266,0.5395252837977296,43.805166666666665,4530.0,2.0
462,121.0,22.0,4.120019444444444,22234.0,0.1826931726185122,0.0947197985067914,0.48153618906942397,39.5915,3648.0,2.0
467,135.0,45.0,5.24755,30879.0,0.1907445189287218,0.08604553256258299,0.5488964346349745,36.771499999999996,3205.0,4.0
468,447.0,82.0,17.152691666666666,109800.0,0.22963570127504554,0.10146630236794171,0.5581423018957722,36.6435,3545.0,7.0
469,262.0,98.0,13.472541666666666,88468.0,0.13392413075914456,0.07063571008726319,0.47256920999324786,41.6825,4323.0,6.0
470,107.0,28.0,4.619194444444444,29405.0,0.20629144703281754,0.10868899846964802,0.47312891526541373,25.515666666666668,2594.0,4.0
476,1797.0,297.0,38.196583333333336,227965.0,0.2824688000350931,0.134235518610313,0.5247775379311416,44.79116666666666,3299.0,3.0
477,383.0,72.0,12.168505555555555,73021.0,0.15109352104189205,0.07314334232618014,0.5159068249796066,44.20483333333333,4741.0,4.0
478,360.0,99.0,11.976769444444443,101061.0,0.27429968039105096,0.13426544364294832,0.5105154936690596,39.66216666666666,5675.0,6.0
479,104.0,31.0,4.102316666666667,28110.0,0.20519388118107434,0.10053361792956243,0.5100554785020804,39.013999999999996,4096.0,6.0
483,191.0,84.0,7.365894444444445,47062.0,0.21809527856869662,0.10367175215672943,0.5246492595479345,44.56066666666666,5223.0,7.0
488,440.0,170.0,8.270269444444445,48379.0,0.2912007275884165,0.14006077016887492,0.519023282226008,44.83449999999999,4093.0,19.0
490,633.0,190.0,18.875144444444445,115338.0,0.2418370354956736,0.1167785118521216,0.5171189904277058,44.416999999999994,4526.0,6.0
494,209.0,38.0,5.957886111111111,47537.0,0.3216862654353451,0.15442707785514442,0.5199450693172901,43.67183333333333,5149.0,6.0
495,94.0,48.0,3.8456638888888888,25485.0,0.2846380223660977,0.15224641946242887,0.4651226909291426,42.93333333333333,4863.0,10.0
498,284.0,62.0,10.886944444444444,59240.0,0.2021944632005402,0.08634368669817691,0.572967106361663,42.537000000000006,3888.0,5.0
503,444.0,203.0,18.456086111111112,126332.0,0.2138333913814394,0.0994601526137479,0.5348708077293256,44.215333333333334,5068.0,10.0
504,367.0,149.0,14.621161111111109,99958.0,0.15859661057644212,0.06971928209848136,0.560398662713682,43.36299999999999,4807.0,7.0
511,129.0,59.0,4.270422222222223,29561.0,0.14999492574676093,0.0670139711105849,0.5532250789354984,43.407666666666664,5049.0,11.0
521,173.0,66.0,6.556497222222222,40314.0,0.20697524433199385,0.09827851366770848,0.5251677852348994,38.90333333333333,3943.0,4.0
526,844.0,209.0,24.189091666666666,169773.0,0.19811159607240256,0.0978600837589016,0.5060355592555152,33.11566666666667,3325.0,9.0
528,588.0,162.0,17.542772222222222,110073.0,0.3514849236415833,0.15955774803993714,0.5460466799348652,39.832333333333324,3939.0,10.0
532,1484.0,431.0,36.00161111111111,211693.0,0.2966985209714067,0.12056610279980916,0.5936410387046441,43.65783333333333,4393.0,8.0
540,331.0,123.0,13.874352777777776,78224.0,0.21060032726528943,0.10108150951114747,0.5200315648901299,44.61216666666667,3559.0,7.0
549,212.0,89.0,6.342866666666667,42534.0,0.283702449804862,0.1285794893496967,0.5467804756774675,36.93866666666666,4134.0,10.0
556,460.0,118.0,14.404091666666668,88850.0,0.24091164884637029,0.10850872256612268,0.5495912170053726,30.15449999999999,2993.0,4.0
557,233.0,91.0,10.858858333333334,68791.0,0.18147722812577227,0.08409530316465817,0.5366068567766741,41.672333333333334,4123.0,4.0
560,1210.0,460.0,34.10395,175796.0,0.22647272975494323,0.09930260074176887,0.561525129982669,38.544333333333334,3433.0,10.0
563,408.0,125.0,17.387969444444444,112918.0,0.3012097274128128,0.10669689509201367,0.6457720804421968,40.693333333333335,4399.0,5.0
580,684.0,211.0,18.76838055555556,130353.0,0.37242717850759094,0.12994714352565725,0.6510803963169712,42.10449999999999,4668.0,9.0
713,414.0,119.0,15.182527777777779,93634.0,0.20009825490740543,0.09030907576307752,0.5486763450042699,40.992000000000004,4457.0,6.0
949,83.0,37.0,5.949266666666665,33318.0,0.16780719130800167,0.07875622786481781,0.5306742979788946,37.729,3590.0,5.0
965,393.0,95.0,19.355180555555553,100513.0,0.17317162954045745,0.05945499587118084,0.6566701137538781,24.014833333333332,1912.0,2.0
1025,203.0,72.0,8.735447222222222,50273.0,0.2084021244007718,0.11831400552980725,0.4322802328910948,40.712500000000006,3978.0,9.0
1027,407.0,90.0,16.395469444444444,96208.0,0.16992349908531515,0.08444204224180941,0.5030584781012968,41.80766666666667,3868.0,6.0
1030,241.0,82.0,6.761908333333333,39351.0,0.25356407715178775,0.14205483977535513,0.43976748847464425,42.0005,4190.0,9.0
1034,154.0,32.0,4.550572222222222,29899.0,0.21251546874477406,0.10746178801966622,0.49433427762039656,28.143666666666668,3511.0,2.0
1037,836.0,155.0,35.35353333333333,225958.0,0.15114755839580807,0.0788111064888165,0.4785816765730682,41.92883333333333,4341.0,2.0
1044,245.0,123.0,15.155761111111108,97846.0,0.17574555934836375,0.06994665085951393,0.6020004652244708,29.30833333333333,2735.0,2.0
1055,268.0,128.0,10.220386111111111,62274.0,0.13898256094036035,0.06050679256190385,0.5646447140381282,42.50566666666666,4408.0,9.0
1056,463.0,215.0,17.04373055555556,109350.0,0.23486968449931414,0.11158664837677183,0.524899739127049,42.27383333333334,4418.0,3.0
1057,700.0,300.0,23.920483333333333,177614.0,0.20353688335378967,0.09735156012476494,0.5217006445188238,44.46716666666667,4883.0,11.0
1061,532.0,216.0,19.899238888888892,100365.0,0.20760225178099936,0.09585014696358292,0.5382990977154924,41.68299999999999,3295.0,10.0
1065,269.0,64.0,8.53558888888889,51595.0,0.21360596957069483,0.1112704719449559,0.4790853824516832,41.93516666666666,4106.0,5.0
1068,177.0,61.0,7.0600499999999995,43688.0,0.2382576451199414,0.14427302691814686,0.3944663272168316,44.64983333333333,4462.0,8.0
2178,148.0,36.0,7.209552777777779,37118.0,0.20157336063365483,0.08025755698044075,0.6018444266238974,41.288666666666664,3105.0,8.0
2291,204.0,45.0,7.443991666666666,55086.0,0.22700867734088517,0.11681734015902408,0.485405837664934,38.785,4622.0,7.0
2411,256.0,91.0,7.192991666666667,49807.0,0.2206717931214488,0.10311803561748349,0.5327085797470658,43.799166666666665,5187.0,10.0
3261,134.0,48.0,6.054086111111112,33510.0,0.20322291853178157,0.0835571471202626,0.5888399412628488,56.475500000000004,5337.0,1.0
4295,167.0,79.0,9.019308333333333,51278.0,0.16459300284722492,0.09717617691797652,0.40959715639810423,39.034333333333336,3687.0,7.0
4297,191.0,99.0,6.969625000000001,41611.0,0.248564081613035,0.10201629376847468,0.5895774920235908,36.90533333333333,3607.0,9.0
4355,445.0,136.0,12.80133611111111,84085.0,0.17617886662306,0.09419040256882916,0.4653705953827461,39.719833333333334,4419.0,13.0
4395,93.0,32.0,4.644780555555555,26363.0,0.19967378522929863,0.09399537230209006,0.5292553191489361,43.593,3968.0,7.0
4397,518.0,107.0,18.294119444444448,135889.0,0.20514537600541619,0.09938994326251573,0.5155145819134054,37.092333333333336,4394.0,7.0
4400,128.0,56.0,4.713519444444445,33268.0,0.20560298184441506,0.10866297943970181,0.47149122807017546,39.17783333333333,4503.0,10.0
4405,264.0,136.0,15.0586,94065.0,0.15035347897730292,0.06766597565513209,0.549954040868274,41.499,4221.0,7.0
4407,112.0,52.0,5.2723611111111115,34147.0,0.21609511816557825,0.1119278413916303,0.4820436373492344,36.725,3592.0,5.0
4413,368.0,85.0,13.174700000000001,85283.0,0.25214872835148855,0.11814781374951631,0.5314360119047619,41.51983333333333,4467.0,3.0
4416,1610.0,488.0,64.991725,409983.0,0.13270794154879592,0.06058056065739311,0.543504631671813,44.43449999999999,4887.0,5.0
4417,153.0,27.0,5.021125,38025.0,0.1850887573964497,0.09638395792241947,0.4792554703040636,43.59616666666667,5156.0,7.0
4419,224.0,117.0,8.160213888888888,54785.0,0.2481883727297618,0.13355845578169206,0.46186658821798926,43.79899999999999,5079.0,7.0
6076,150.0,64.0,3.7801194444444444,25231.0,0.21556815029130832,0.09456620823590028,0.5613164184592756,44.163666666666664,4791.0,5.0
7736,90.0,43.0,3.250419444444444,23065.0,0.1794927379145892,0.09646650769564274,0.46256038647342995,33.42066666666666,4076.0,11.0
9315,268.0,104.0,10.202749999999998,64850.0,0.27526599845797994,0.14606013878180416,0.46938546860119884,44.887499999999996,4940.0,13.0
9615,304.0,126.0,8.918202777777777,65144.0,0.18532788898440378,0.09871975930246837,0.4673237803362876,40.49000000000001,4818.0,11.0
11835,687.0,311.0,26.031069444444444,198379.0,0.31508375382474957,0.1924951733802469,0.38906664960163817,38.68666666666666,4786.0,5.0
12936,272.0,123.0,8.607563888888889,49051.0,0.2139609793887994,0.1367556216998634,0.36083849452120054,44.01816666666667,3882.0,7.0
12937,858.0,207.0,21.986833333333333,142493.0,0.16772753749306984,0.08257247724449622,0.5076987447698745,37.03783333333333,4152.0,4.0
12938,525.0,271.0,16.10857222222222,93451.0,0.25982600507217685,0.11266867128227627,0.5663687657015775,44.87949999999999,3877.0,3.0
12942,349.0,144.0,12.793272222222221,90504.0,0.19455493679837355,0.09243790329709184,0.5248750567923671,40.68733333333333,5000.0,6.0
12945,537.0,346.0,16.54976111111111,99885.0,0.26005906792811734,0.12589477899584522,0.5158992916538343,43.305666666666674,4483.0,29.0
12947,528.0,189.0,21.95018888888889,145489.0,0.1435366247620095,0.07514657465512857,0.47646410956280233,30.073,2748.0,2.0
12948,200.0,94.0,6.386113888888889,48269.0,0.15015848681348276,0.07149516252667343,0.5238686534216336,42.242,4858.0,8.0
12951,1198.0,309.0,33.245577777777775,215963.0,0.182549788621199,0.08281974227066674,0.5463169642857143,28.326999999999998,2586.0,5.0
12952,449.0,184.0,16.96306111111111,119912.0,0.19932116885716192,0.10506871705917672,0.4728672440483662,40.71683333333334,4925.0,6.0
12955,254.0,135.0,8.672038888888888,52457.0,0.3306708351602265,0.12347255847646645,0.6265997924593567,44.07566666666667,4322.0,17.0
12956,244.0,122.0,7.249308333333333,51875.0,0.17129638554216867,0.08678554216867469,0.4933603421111861,40.4285,4935.0,3.0
12959,204.0,90.0,7.610291666666667,51893.0,0.21149287957913399,0.09463704160484072,0.5525284738041003,43.77133333333333,5063.0,11.0
12961,762.0,342.0,27.478177777777777,194554.0,0.15761690841617237,0.07939183979769113,0.4962987118865156,39.761833333333335,4239.0,6.0
12963,80.0,30.0,4.6119361111111115,28265.0,0.17558818326552272,0.07079426852998408,0.5968164416683458,43.57083333333334,4646.0,5.0
12964,269.0,121.0,11.108883333333333,64491.0,0.19475585740645981,0.09754849513885658,0.49912420382165607,44.838666666666676,3947.0,6.0
12966,153.0,66.0,4.03768611111111,28318.0,0.1768839607316901,0.09414506674200156,0.4677580355360352,44.73566666666667,4961.0,12.0
23511,273.0,74.0,8.131997222222223,50936.0,0.18499685880320402,0.09223339092194126,0.501432664756447,40.79716666666666,3333.0,6.0
23512,326.0,102.0,11.080958333333333,70832.0,0.17030438220013552,0.07219900609893834,0.5760590234601674,42.161999999999985,4470.0,11.0
