speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
30749,221,0.934198,0.261213,0.177356,0.0838568,0.0691295,0.098352,0.321029
30701,276,0.941194,0.301119,0.204331,0.0967883,0.0811944,0.1123,0.321429
30059,270,0.863991,0.353367,0.239394,0.113973,0.0964075,0.13352,0.322535
30810,250,0.942829,0.253781,0.171845,0.0819357,0.0678677,0.0969056,0.32286
30775,224,0.967455,0.185478,0.125583,0.0598955,0.0493194,0.0715447,0.322925
30671,214,0.926758,0.351321,0.237855,0.113466,0.0965258,0.132387,0.32297
30065,292,0.936475,0.339147,0.229139,0.110008,0.0912128,0.128473,0.324367
30106,255,0.920939,0.261,0.17615,0.0848502,0.0722591,0.0992242,0.325096
503,74,0.322554,0.281214,0.189781,0.091433,0.0708128,0.114609,0.325137
30814,190,0.66405,0.269618,0.181541,0.0880768,0.07011,0.105471,0.326672
30057,278,0.928958,0.300289,0.20212,0.0981688,0.0826328,0.113918,0.326914
30711,250,0.941034,0.263931,0.177631,0.0863005,0.071796,0.0993353,0.326981
30480,267,0.902866,0.365874,0.245841,0.120033,0.10607,0.133609,0.328072
30852,244,0.906944,0.32337,0.216996,0.106374,0.093885,0.119012,0.328953
30061,144,0.605018,0.280201,0.187919,0.0922819,0.0719049,0.114077,0.329341
30099,129,0.604315,0.210701,0.141146,0.0695541,0.0550075,0.0857712,0.330109
30683,197,0.73125,0.241498,0.161628,0.0798695,0.0662703,0.0945813,0.330725
30812,255,0.955794,0.236277,0.157758,0.0785189,0.0617241,0.098172,0.332317
30681,250,0.953751,0.238543,0.159173,0.0793697,0.0666448,0.0927374,0.332727
30098,90,0.253537,0.361722,0.2413,0.120421,0.0982451,0.143912,0.332911
1068,287,0.880525,0.396186,0.263595,0.132592,0.113281,0.154578,0.33467
30804,154,0.588551,0.240651,0.159921,0.0807303,0.06279,0.100443,0.335466
12938,285,0.892692,0.33384,0.221749,0.112091,0.0952183,0.130346,0.335763
556,309,0.939844,0.3642,0.24148,0.122719,0.103462,0.141612,0.336957
30843,219,0.952178,0.336707,0.223133,0.113574,0.0979184,0.130056,0.337309
30696,232,0.932784,0.244346,0.161782,0.0825639,0.0700375,0.0948932,0.337897
30682,236,0.924088,0.253848,0.167875,0.0859721,0.0689831,0.104125,0.338676
30080,277,0.953584,0.234775,0.155193,0.0795822,0.0651048,0.0951556,0.338972
30895,251,0.952479,0.227001,0.149994,0.0770074,0.0655585,0.0883377,0.339238
30853,347,0.934158,0.295707,0.195224,0.100483,0.0849068,0.114591,0.339806
30879,280,0.890591,0.310982,0.205251,0.105731,0.090773,0.121521,0.339991
30772,276,0.913836,0.271796,0.179228,0.0925683,0.0800157,0.104581,0.34058
30805,207,0.955187,0.25833,0.170348,0.087982,0.0739406,0.101107,0.34058
30868,306,0.934956,0.272582,0.179456,0.0931255,0.0751714,0.113319,0.341642
4397,275,0.952927,0.242181,0.159424,0.0827567,0.0709721,0.0954164,0.341714
30820,271,0.971152,0.220685,0.145198,0.0754869,0.0643031,0.0872937,0.342057
23553,280,0.953702,0.257855,0.169637,0.0882175,0.070583,0.106336,0.342121
30721,220,0.955158,0.262673,0.172745,0.0899276,0.0770308,0.103325,0.342356
