speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
563,296,54,0.955042,7234,35515,0.473044,0.28816,0.348493,0.242179,0.124551,0.263296,0.44309,0.50495,0.316543,0.383205,0.106347,0.14221,True,0.523963,0.130333,0.345704,0.381991,0.111067,0.506942,2,3,2021-06-23,2026-01-20,מאיר פרוש,Male,Israel,Jewish,Jewish,Haredi,67.9619,138.15,2.08924,former_mk
580,21,3,0.0858681,581,2850,0.772806,0.504561,0.507745,0.366316,0.26506,0.342984,0.670753,0.866987,0.399659,0.61307,0.203269,0.331212,True,0.55902,0.0846325,0.356347,0.386441,0.0372881,0.576271,0,0,2020-06-29,2021-03-17,יצחק כהן,Male,Israel,Jewish,Jewish,Haredi,69.7889,115.119,0.128157,mk
965,80,2,0.36775,2346,11856,0.455243,0.272267,0.306905,0.214744,0.148338,0.325843,0.406918,0.51204,0.258091,0.36232,0.117068,0.184721,True,0.495318,0.0926966,0.411985,0.333333,0.0611111,0.605556,0,0,2020-11-09,2020-11-23,בנימין נתניהו,Male,Israel,Jewish,Jewish,Secular,71.063,109.663,0.36775,mk
1025,201,18,0.975816,6710,35284,0.274963,0.147007,0.19538,0.117759,0.0795827,0.289431,0.253091,0.296999,0.175138,0.215284,0.0675588,0.0926257,True,0.540379,0.127371,0.332249,0.453852,0.106789,0.439359,0,0,2020-06-29,2025-02-17,גילה גמליאל,Female,Israel,Jewish,Jewish,Secular,47.7527,117.814,2.73635,mk
1027,247,44,0.977415,5829,30430,0.345514,0.218797,0.255104,0.183569,0.09041,0.261668,0.311328,0.383722,0.222307,0.292769,0.0748509,0.106563,True,0.447865,0.138034,0.414101,0.319435,0.127774,0.552791,1,1,2020-04-19,2025-01-21,גדעון סער,Male,Israel,Jewish,Jewish,Secular,54.6934,106.122,4.6368,mk
1056,280,245,0.895269,6053,30958,0.567652,0.355385,0.398811,0.279734,0.168842,0.297439,0.531415,0.60933,0.361212,0.441393,0.148475,0.188145,True,0.527066,0.109721,0.363213,0.359569,0.0985915,0.541839,3,3,2018-11-05,2026-01-14,יעקב מרגי,Male,MENA,Jewish,Jewish,Religious,59.8281,118.866,37.6604,mk
1057,321,299,0.930774,6679,33942,0.444078,0.278917,0.320108,0.224854,0.123971,0.279164,0.407494,0.483462,0.286316,0.354504,0.107001,0.142654,True,0.501686,0.142616,0.355698,0.355472,0.132834,0.511693,2,3,2018-11-26,2025-12-23,ישראל אייכלר,Male,Israel,Jewish,Jewish,Haredi,68.8681,133.065,36.8963,mk
1061,94,7,0.402774,2357,12048,0.480696,0.286355,0.30123,0.210574,0.179465,0.373345,0.437499,0.524107,0.26326,0.343919,0.147154,0.213078,True,0.558694,0.109444,0.331862,0.401408,0.111268,0.487324,0,0,2018-11-19,2018-12-26,ג'מאל זחאלקה,Male,Israel,Arab,Muslim,Unrecorded,63.9115,101.881,0.402774,mk
1068,287,43,0.880525,5664,27216,0.579626,0.402668,0.475989,0.366953,0.103637,0.1788,0.542877,0.622084,0.435081,0.521223,0.082961,0.125782,True,0.431008,0.127932,0.44106,0.283383,0.103487,0.613131,4,4,2018-11-05,2019-01-23,ניסן סלומינסקי,Male,Israel,Jewish,Jewish,Religious,72.8944,117.188,7.62145,mk
2178,248,126,0.940149,4843,24708,0.371257,0.227983,0.27483,0.194593,0.0964278,0.259733,0.340564,0.405406,0.243246,0.308516,0.0772643,0.117948,True,0.484427,0.117353,0.39822,0.340346,0.103681,0.555973,0,1,2018-11-06,2022-10-26,זאב בנימין בגין,Male,Israel,Jewish,Jewish,Secular,78.5052,92.3126,8.29791,mk
4355,259,17,0.8395,6470,32619,0.373725,0.244704,0.271097,0.202551,0.102628,0.274607,0.346398,0.405539,0.243192,0.302316,0.0821278,0.124677,True,0.480149,0.188586,0.331266,0.323261,0.125998,0.550741,1,2,2018-11-05,2019-01-01,יואל חסון,Male,Israel,Jewish,Jewish,Secular,45.6775,135.246,0.8395,mk
4395,204,54,0.963518,5966,30487,0.325176,0.199593,0.225109,0.157969,0.100067,0.307732,0.293081,0.361872,0.194807,0.258866,0.0866268,0.11577,True,0.520619,0.113918,0.365464,0.390916,0.100521,0.508563,0,1,2020-06-01,2025-06-23,אבי דיכטר,Male,Israel,Jewish,Jewish,Secular,69.0078,108.647,8.34192,mk
4397,275,190,0.952927,7226,36438,0.324523,0.18928,0.250623,0.166365,0.0738998,0.227719,0.297831,0.353798,0.224604,0.278861,0.0603057,0.0872522,True,0.508742,0.140725,0.350533,0.373827,0.135837,0.490337,0,1,2020-04-20,2025-12-08,זאב אלקין,Male,FSU,Jewish,Jewish,Religious,82.4763,129.87,34.5609,mk
4405,297,18,0.970165,6556,33933,0.341824,0.205287,0.232459,0.156809,0.109365,0.319946,0.311565,0.376983,0.204173,0.266589,0.0901509,0.128895,True,0.518072,0.140562,0.341365,0.372047,0.106955,0.520997,1,3,2018-11-05,2019-07-10,שלי יחימוביץ',Female,Israel,Jewish,Jewish,Secular,58.6788,125,5.54552,mk
4412,174,9,0.600494,4226,21615,0.437056,0.26514,0.261477,0.172103,0.17558,0.401733,0.401603,0.477394,0.233208,0.292695,0.150562,0.201552,True,0.580942,0.194369,0.224689,0.449774,0.138462,0.411765,0,0,2018-11-14,2019-01-09,רוברט אילטוב,Male,FSU,Jewish,Jewish,Unrecorded,47.0402,127.141,0.600494,mk
4416,204,49,0.966381,7143,37341,0.319894,0.201896,0.223436,0.158914,0.0964581,0.301532,0.291078,0.354916,0.198806,0.253745,0.0766944,0.114577,True,0.500219,0.140481,0.3593,0.338346,0.115288,0.546366,0,0,2018-11-05,2019-04-16,דב חנין,Male,Israel,Jewish,Jewish,Secular,61.0225,129.604,3.5962,mk
9615,46,2,0.143264,1220,6031,0.327869,0.225833,0.218852,0.177914,0.109016,0.3325,0.252238,0.412259,0.148959,0.304313,0.0790855,0.141446,True,0.45,0.2125,0.3375,0.318352,0.138577,0.543071,0,1,2018-12-31,2019-01-01,יחיאל חיליק בר,Male,Israel,Jewish,Jewish,Unrecorded,43.3255,153.009,0.143264,mk
11835,235,227,0.837063,6088,30728,0.587549,0.387009,0.487681,0.343107,0.0998686,0.169975,0.547934,0.630312,0.44888,0.529821,0.0802613,0.120109,True,0.471904,0.109309,0.418787,0.362748,0.0774672,0.559784,2,1,2018-11-06,2026-01-28,אורי מקלב,Male,Israel,Jewish,Jewish,Haredi,64.5756,126.85,17.6263,mk
12937,104,2,0.382802,2798,14359,0.333452,0.219096,0.29807,0.208301,0.0353824,0.106109,0.290976,0.377094,0.257315,0.34252,0.0175986,0.0543327,True,0.418006,0.127546,0.454448,0.342926,0.0851319,0.571942,0,0,2022-01-18,2022-05-09,אופיר אקוניס,Male,Israel,Jewish,Jewish,Secular,49.1065,126.809,0.568026,mk
12938,285,253,0.892692,6575,33220,0.462053,0.29997,0.366388,0.265232,0.0956654,0.207044,0.430933,0.498934,0.335042,0.403357,0.0777465,0.115249,True,0.487163,0.123766,0.389072,0.342051,0.0938149,0.564134,2,2,2018-11-13,2026-01-28,חמד עמאר,Male,Israel,Druze,Druze,Unrecorded,58.8504,128.571,12.1096,mk
12944,6,1,0.0234028,213,1112,0.201878,0.103417,0.122066,0.0719424,0.0798122,0.395349,0.152381,0.341463,0.0963532,0.183333,0.0397351,0.170744,False,0.604651,0.139535,0.255814,0.346154,0.192308,0.461538,0,0,2023-03-20,2023-03-20,דני דנון,Male,Israel,Jewish,Jewish,Secular,51.87,156.206,0.0234028,mk
12945,72,14,0.34856,2076,10807,0.476397,0.309429,0.289981,0.198668,0.186416,0.391304,0.412594,0.546059,0.245741,0.335857,0.129795,0.251808,True,0.438827,0.302326,0.258847,0.380399,0.10299,0.516611,1,1,2018-11-11,2018-12-25,מסעוד גנאים,Male,Israel,Arab,Muslim,Unrecorded,53.8024,104.003,0.34856,mk
12947,241,49,0.967599,6322,32087,0.383581,0.251473,0.295951,0.217097,0.0876305,0.228454,0.346193,0.424215,0.259967,0.335444,0.0729021,0.101811,True,0.425567,0.11299,0.461443,0.287012,0.113308,0.599679,3,2,2019-10-23,2021-01-26,ניצן הורוביץ,Male,Israel,Jewish,Jewish,Secular,55.4773,115.483,5.40404,mk
12951,197,26,0.977946,6108,31918,0.322037,0.193558,0.210707,0.139263,0.111329,0.345704,0.288957,0.357274,0.184652,0.238548,0.0866288,0.139556,True,0.508388,0.155567,0.336045,0.384615,0.0940171,0.521368,1,2,2020-05-27,2025-12-30,יריב לוין,Male,Israel,Jewish,Jewish,Secular,52.095,106.614,1.47938,mk
12952,259,39,0.922197,6949,35651,0.412146,0.256823,0.324939,0.224818,0.0872068,0.211592,0.37321,0.452508,0.286499,0.362361,0.0718731,0.103981,True,0.479399,0.118715,0.401885,0.376882,0.10186,0.521258,2,2,2018-11-20,2022-06-20,אורלי לוי אבקסיס,Female,Israel,Jewish,Jewish,Secular,46.9725,131.183,2.92899,mk
