speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
30867,240,0.955473,0.355152,0.28355,0.0716021,0.0572829,0.0856226,0.20161
30745,277,0.945877,0.353688,0.282323,0.0713646,0.0563308,0.0843622,0.201773
30704,319,0.951249,0.366547,0.292406,0.0741408,0.0573899,0.0913953,0.202268
30061,144,0.605018,0.391179,0.311841,0.0793384,0.0583012,0.100745,0.202819
30701,276,0.941194,0.432786,0.344863,0.0879233,0.0728334,0.103487,0.203156
30059,270,0.863991,0.470202,0.374579,0.0956229,0.0775717,0.115208,0.203366
477,135,0.78575,0.293191,0.233268,0.0599222,0.041877,0.0773551,0.20438
30811,218,0.927827,0.371671,0.2954,0.0762712,0.061456,0.0899481,0.205212
23571,86,0.313848,0.459418,0.364982,0.0944359,0.0673289,0.120287,0.205556
12938,285,0.892692,0.462053,0.366388,0.0956654,0.0777465,0.115249,0.207044
30074,108,0.461175,0.50798,0.402716,0.105263,0.081602,0.131858,0.207219
30863,236,0.975241,0.263387,0.208573,0.0548138,0.0448181,0.06579,0.208111
30868,306,0.934956,0.38729,0.306422,0.0808686,0.0643072,0.0993765,0.208806
30879,280,0.890591,0.451863,0.357284,0.0945793,0.0776953,0.111504,0.20931
23600,245,0.952339,0.397023,0.313629,0.0833936,0.0652191,0.103808,0.210047
30480,267,0.902866,0.489344,0.385948,0.103396,0.088172,0.11841,0.211295
12952,259,0.922197,0.412146,0.324939,0.0872068,0.0718731,0.103981,0.211592
30814,190,0.66405,0.362146,0.285313,0.076833,0.0559263,0.0956847,0.21216
30783,351,0.954508,0.321264,0.253029,0.0682356,0.0533491,0.0843266,0.212397
30068,213,0.67065,0.539772,0.423798,0.115973,0.0952793,0.136219,0.214856
30683,197,0.73125,0.347475,0.272759,0.0747166,0.0590807,0.0899658,0.215027
30775,224,0.967455,0.257381,0.201865,0.0555163,0.0450731,0.0664601,0.215697
30106,255,0.920939,0.356887,0.279633,0.0772538,0.0645183,0.0909261,0.216466
30703,251,0.904211,0.504267,0.394595,0.109671,0.0892734,0.138956,0.217487
